                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.329,                  2.245,                  1.483,                0.97561,                0.97561,                0.96965,                0.55471,                  1.641,                 4.0542,                    2.2,                0.00024,                0.00024,                0.00024
                      1,                 1.1275,                0.98705,                 1.2444,                0.97561,                0.97561,                0.95362,                0.55453,                 1.5099,                 4.8321,                 2.3099,              0.0004901,              0.0004901,              0.0004901
                      2,                 1.1358,                0.88003,                 1.2492,                0.53665,                 0.7561,                0.59676,                0.21884,                 2.4028,                 4.0402,                 3.0493,              0.0007299,              0.0007299,              0.0007299
                      3,                 1.2345,                0.89457,                 1.2927,                0.01071,                0.87805,                0.01295,                0.00263,                 3.4228,                    inf,                  21.67,             0.00095941,             0.00095941,             0.00095941
                      4,                 1.2467,                0.91463,                 1.3037,                0.07055,                0.97561,                0.10741,                0.04313,                 2.3089,                 125.64,                  9.002,              0.0011786,              0.0011786,              0.0011786
                      5,                 1.2627,                0.93901,                  1.332,                0.01395,                0.07317,                 0.0053,                 0.0012,                 5.6864,                 2821.7,                 27.297,              0.0013875,              0.0013875,              0.0013875
                      6,                 1.3067,                0.93629,                 1.3172,                0.22018,                0.58537,                0.27912,                0.07769,                 2.8236,                 20.003,                 5.3438,              0.0015862,              0.0015862,              0.0015862
                      7,                 1.2987,                0.92197,                  1.331,                0.09859,                0.09756,                0.02287,                0.00357,                 4.0249,                  3.162,                  5.434,              0.0017228,              0.0017228,              0.0017228
                      8,                 1.2037,                0.85842,                 1.2749,                0.68421,                0.63415,                0.64937,                0.40279,                 1.3155,                 6.3491,                 2.3594,              0.0017228,              0.0017228,              0.0017228
                      9,                 1.1296,                 0.7333,                 1.2322,                0.87962,                0.95122,                0.97184,                0.60499,                 1.3834,                 2.1267,                 1.9987,              0.0016832,              0.0016832,              0.0016832
                     10,                 1.1499,                0.71762,                 1.2464,                0.79805,                0.78049,                0.84503,                0.51006,                 1.3414,                 1.2771,                 1.7768,              0.0016436,              0.0016436,              0.0016436
                     11,                  1.222,                0.80208,                 1.2999,                0.00408,                0.07317,                0.00063,                0.00012,                 4.8004,                 6.6798,                 3.9509,               0.001604,               0.001604,               0.001604
                     12,                 1.0651,                0.71817,                 1.2197,                0.97222,                0.92683,                0.97234,                0.67354,                 1.2533,                0.71732,                 1.6299,              0.0015644,              0.0015644,              0.0015644
                     13,                 1.0824,                0.70702,                  1.207,                0.97301,                0.95122,                0.97231,                0.64328,                 1.2981,                0.65038,                 1.8864,              0.0015248,              0.0015248,              0.0015248
                     14,                 1.0681,                0.70158,                 1.2102,                0.97313,                0.95122,                0.95834,                0.64399,                 1.2082,                0.70078,                 1.6942,              0.0014852,              0.0014852,              0.0014852
                     15,                 1.0483,                0.67949,                 1.1909,                0.91001,                0.90244,                 0.9636,                0.66121,                 1.1867,                0.84321,                 1.6335,              0.0014456,              0.0014456,              0.0014456
                     16,                 1.0397,                 0.6575,                  1.165,                0.95469,                0.95122,                0.97246,                0.65344,                 1.0868,                0.71422,                 1.5818,               0.001406,               0.001406,               0.001406
                     17,                 1.0067,                0.61553,                 1.1557,                0.97344,                0.95122,                0.95673,                0.66501,                 1.1348,                0.81606,                 1.6307,              0.0013664,              0.0013664,              0.0013664
                     18,                0.99188,                0.62412,                 1.1577,                0.99759,                0.97561,                0.97527,                0.67801,                 1.1065,                0.60413,                 1.5775,              0.0013268,              0.0013268,              0.0013268
                     19,                0.98756,                0.61091,                 1.1437,                0.99739,                0.97561,                0.98639,                0.63413,                 1.2117,                 0.6465,                  1.683,              0.0012872,              0.0012872,              0.0012872
                     20,                0.96208,                0.61043,                 1.1476,                 0.9981,                0.97561,                0.97734,                0.66783,                 1.2384,                 0.5951,                 1.5711,              0.0012476,              0.0012476,              0.0012476
                     21,                0.93566,                0.57218,                 1.1323,                0.99804,                0.97561,                 0.9914,                0.61479,                 1.3903,                0.54612,                 1.7146,               0.001208,               0.001208,               0.001208
                     22,                 0.9738,                0.59605,                 1.1599,                0.96917,                0.95122,                0.94643,                0.66395,                 1.1656,                0.64495,                    1.5,              0.0011684,              0.0011684,              0.0011684
                     23,                0.93387,                0.58244,                 1.1331,                0.99859,                0.97561,                0.97594,                0.67702,                 1.1778,                0.48252,                  1.527,              0.0011288,              0.0011288,              0.0011288
                     24,                0.95726,                0.59189,                 1.1532,                0.97348,                0.95122,                0.96266,                 0.7163,                 1.0988,                0.52601,                 1.5011,              0.0010892,              0.0010892,              0.0010892
                     25,                0.93909,                0.57155,                  1.144,                0.97359,                0.95122,                0.95804,                0.68589,                 1.1545,                0.50196,                 1.4822,              0.0010496,              0.0010496,              0.0010496
                     26,                0.89942,                0.56534,                 1.1108,                0.97358,                0.95122,                0.96026,                0.71159,                 1.0961,                0.51775,                 1.4884,                0.00101,                0.00101,                0.00101
