                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3241,                 2.2318,                 1.4731,                0.95122,                0.95122,                0.96048,                0.51925,                 1.5749,                 3.4731,                 2.0983,                0.00024,                0.00024,                0.00024
                      2,                   1.15,                 1.0234,                 1.2586,                0.84444,                0.92683,                0.86003,                0.41568,                 1.5469,                 6.4256,                  2.855,              0.0004901,              0.0004901,              0.0004901
                      3,                  1.147,                0.96396,                 1.2684,                0.82143,                0.56098,                0.68381,                0.30147,                 3.0749,                 12.915,                 4.8353,              0.0007299,              0.0007299,              0.0007299
                      4,                  1.201,                0.89706,                 1.2819,                0.52381,                0.53659,                0.51725,                0.24372,                 1.8056,                 10.331,                 2.9278,             0.00095941,             0.00095941,             0.00095941
                      5,                 1.1781,                0.88572,                 1.2877,                0.02794,                0.95122,                0.03256,                0.01778,                 1.7872,                 133.55,                 4.9726,              0.0011786,              0.0011786,              0.0011786
                      6,                 1.2772,                0.90842,                 1.3325,                0.02794,                0.95122,                0.03256,                0.01778,                  5.926,                 844.48,                 17.763,              0.0013875,              0.0013875,              0.0013875
                      7,                 1.2818,                0.92141,                 1.2967,                0.17181,                0.95122,                0.21666,                0.09006,                 1.8132,                 42.211,                 3.5803,              0.0015862,              0.0015862,              0.0015862
                      8,                 1.3285,                0.90309,                 1.3542,                0.62785,                0.78049,                0.62172,                0.33778,                 1.5903,                 3.1591,                 2.2698,              0.0017228,              0.0017228,              0.0017228
                      9,                 1.1969,                0.83707,                 1.2546,                0.25888,                 0.5122,                0.22774,                0.08286,                  2.277,                 3.5092,                  3.379,              0.0017228,              0.0017228,              0.0017228
                     10,                 1.1136,                0.75976,                 1.2263,                 0.8513,                0.83793,                0.89554,                0.52183,                  1.344,                 1.7189,                  2.451,              0.0016832,              0.0016832,              0.0016832
                     11,                 1.0508,                0.72013,                 1.1901,                0.87044,                0.85366,                0.90076,                0.52745,                 1.4328,                 1.3625,                 2.3036,              0.0016436,              0.0016436,              0.0016436
                     12,                 1.1732,                0.80015,                 1.2745,                0.94887,                0.90244,                0.93861,                0.57618,                  1.266,                 1.0175,                 1.8956,               0.001604,               0.001604,               0.001604
                     13,                 1.0087,                0.68958,                 1.1881,                0.82312,                0.95122,                0.94007,                0.52397,                 1.3992,                 1.5678,                 1.9132,              0.0015644,              0.0015644,              0.0015644
                     14,                 1.1309,                0.71975,                 1.2314,                0.92978,                0.96903,                0.94509,                0.47288,                 1.6389,                0.99437,                 1.9261,              0.0015248,              0.0015248,              0.0015248
                     15,                 1.1225,                0.73093,                 1.2225,                0.94525,                0.97561,                0.98336,                  0.603,                 1.3247,                 1.3401,                 1.6649,              0.0014852,              0.0014852,              0.0014852
                     16,                  1.048,                0.69589,                 1.1815,                0.97269,                0.95122,                0.95828,                0.61235,                 1.1812,                0.58623,                 1.5674,              0.0014456,              0.0014456,              0.0014456
                     17,                 1.0622,                0.70537,                 1.1563,                0.97346,                0.95122,                0.96187,                  0.645,                 1.1979,                0.70608,                 1.5927,               0.001406,               0.001406,               0.001406
                     18,                0.98124,                0.62649,                 1.1428,                0.99754,                0.97561,                0.98623,                0.65157,                 1.2294,                0.61502,                 1.6621,              0.0013664,              0.0013664,              0.0013664
                     19,                 0.9839,                0.61647,                 1.1415,                0.97145,                0.95122,                 0.9587,                0.62217,                 1.4488,                0.61359,                 2.1064,              0.0013268,              0.0013268,              0.0013268
                     20,                0.97066,                0.59418,                 1.1205,                0.99859,                0.97561,                0.98762,                0.66323,                 1.2052,                0.59551,                 1.6188,              0.0012872,              0.0012872,              0.0012872
                     21,                 0.9979,                0.62314,                 1.1574,                      1,                0.99835,                  0.995,                0.71467,                 1.1473,                0.47817,                 1.5308,              0.0012476,              0.0012476,              0.0012476
                     22,                0.98741,                0.60742,                 1.1509,                      1,                0.96776,                0.99077,                0.62447,                 1.3229,                0.64141,                 1.6483,               0.001208,               0.001208,               0.001208
                     23,                0.96519,                0.61107,                 1.1565,                0.97238,                0.95122,                0.97025,                0.68542,                 1.1798,                 0.5093,                 1.5418,              0.0011684,              0.0011684,              0.0011684
                     24,                0.92828,                0.59156,                 1.1266,                0.99849,                0.97561,                0.97566,                0.68371,                 1.2106,                0.52387,                 1.5235,              0.0011288,              0.0011288,              0.0011288
                     25,                0.93271,                0.59321,                 1.1383,                0.99843,                0.97561,                0.99173,                0.65327,                 1.2753,                0.47038,                 1.6802,              0.0010892,              0.0010892,              0.0010892
                     26,                0.93451,                0.58366,                 1.1415,                0.97368,                0.95122,                0.97373,                 0.6861,                 1.1513,                0.44693,                 1.5421,              0.0010496,              0.0010496,              0.0010496
                     27,                0.89724,                0.54184,                 1.1087,                0.97346,                0.95122,                0.96809,                0.70047,                 1.0624,                0.42962,                 1.4784,                0.00101,                0.00101,                0.00101
                     28,                0.91347,                0.53894,                 1.1159,                0.97423,                0.95122,                 0.9708,                0.68843,                 1.1253,                0.46631,                 1.5316,              0.0009704,              0.0009704,              0.0009704
                     29,                0.92243,                0.56336,                 1.1159,                0.98157,                0.95122,                0.96798,                0.69517,                 1.1891,                0.54435,                 1.5172,              0.0009308,              0.0009308,              0.0009308
                     30,                0.92594,                0.55271,                 1.1143,                0.99838,                0.97561,                0.98802,                0.62725,                 1.3917,                0.51972,                 1.6203,              0.0008912,              0.0008912,              0.0008912
                     31,                0.86959,                0.52634,                 1.1083,                0.99841,                0.97561,                0.99364,                0.69774,                 1.1572,                0.47213,                 1.5944,              0.0008516,              0.0008516,              0.0008516
                     32,                0.86225,                0.52606,                  1.091,                 0.9978,                0.97561,                0.99322,                 0.6623,                 1.2318,                0.51356,                 1.5165,               0.000812,               0.000812,               0.000812
                     33,                 0.8979,                0.51721,                 1.1002,                0.95113,                      1,                0.99358,                0.72185,                 1.0512,                0.40767,                 1.3614,              0.0007724,              0.0007724,              0.0007724
                     34,                0.89299,                0.54165,                 1.1079,                0.97618,                 0.9995,                0.99405,                0.71155,                 1.0723,                0.41532,                 1.4283,              0.0007328,              0.0007328,              0.0007328
                     35,                0.86988,                0.52363,                  1.113,                0.97555,                0.97561,                0.99108,                0.68231,                 1.2278,                0.47775,                 1.4693,              0.0006932,              0.0006932,              0.0006932
                     36,                0.85343,                 0.5034,                  1.095,                0.97371,                0.95122,                0.97456,                0.70906,                 1.0323,                0.45028,                 1.3606,              0.0006536,              0.0006536,              0.0006536
                     37,                0.82855,                0.50352,                 1.0923,                0.99802,                0.97561,                0.99322,                0.68868,                 1.1985,                0.44031,                 1.5156,               0.000614,               0.000614,               0.000614
                     38,                0.84329,                0.50485,                 1.0914,                0.97388,                0.95122,                0.97742,                0.70034,                 1.1118,                0.44452,                 1.4169,              0.0005744,              0.0005744,              0.0005744
                     39,                0.88023,                0.50179,                 1.1117,                0.97445,                0.97561,                0.99173,                0.72029,                 1.0793,                0.41139,                 1.3666,              0.0005348,              0.0005348,              0.0005348
                     40,                  0.782,                0.46468,                 1.0496,                0.99804,                0.97561,                0.99407,                0.71943,                 1.1518,                0.46592,                 1.4363,              0.0004952,              0.0004952,              0.0004952
                     41,                0.78771,                0.53259,                 1.1286,                0.99834,                0.97561,                0.99364,                0.70043,                 1.2021,                 0.4517,                 1.4791,              0.0004556,              0.0004556,              0.0004556
                     42,                0.76388,                0.47386,                 1.1052,                 0.9983,                0.97561,                0.99245,                0.70017,                 1.2118,                0.42065,                 1.5281,               0.000416,               0.000416,               0.000416
                     43,                0.73674,                0.47156,                 1.0762,                 0.9981,                0.97561,                0.98939,                0.70671,                 1.0987,                0.42575,                 1.4511,              0.0003764,              0.0003764,              0.0003764
                     44,                0.76057,                0.44616,                 1.0599,                0.99831,                0.97561,                0.99108,                0.69701,                 1.1547,                0.39374,                 1.4886,              0.0003368,              0.0003368,              0.0003368
                     45,                0.73607,                0.43607,                 1.1106,                0.99842,                0.97561,                0.99407,                0.68078,                  1.173,                0.40885,                 1.4566,              0.0002972,              0.0002972,              0.0002972
                     46,                0.71395,                0.41696,                  1.081,                      1,                 0.9987,                  0.995,                0.69108,                 1.0845,                0.39558,                 1.3804,              0.0002576,              0.0002576,              0.0002576
                     47,                0.71042,                0.41956,                 1.0673,                0.99794,                0.97561,                0.99452,                0.71008,                 1.0594,                0.40848,                 1.4063,               0.000218,               0.000218,               0.000218
                     48,                0.71415,                0.40817,                 1.0808,                0.97361,                0.97561,                0.99407,                 0.7131,                  1.084,                0.41319,                 1.4052,              0.0001784,              0.0001784,              0.0001784
                     49,                 0.6976,                0.40773,                  1.029,                0.97429,                0.97561,                0.99407,                0.71431,                 1.0974,                0.41274,                 1.3779,              0.0001388,              0.0001388,              0.0001388
                     50,                0.67685,                 0.3925,                 1.0371,                 0.9737,                0.97561,                0.99407,                0.70412,                 1.1273,                0.42443,                 1.4047,               9.92e-05,               9.92e-05,               9.92e-05
